Source	OrgProfID	Lat	Long	SoilClass	HzDeIn	HzDeFn	TotFe2O3
RADAM_VOL_26	148	-15.2667	-58.5167	Podzólico_Vermelho_Amarelo_Eutrófico_Abrúptico_Textura_média/argilosa_Tb	60	110	
RADAM_VOL_26	148	-15.2667	-58.5167	Podzólico_Vermelho_Amarelo_Eutrófico_Abrúptico_Textura_média/argilosa_Tb	0	10	
RADAM_VOL_26	149	-15.2667	-58.5167	Podzólico_Vermelho_Amarelo_Eutrófico_Abrúptico_Textura_média/argilosa_Tb	0	15	
RADAM_VOL_26	149	-15.2667	-58.5167	Podzólico_Vermelho_Amarelo_Eutrófico_Abrúptico_Textura_média/argilosa_Tb	65	120	
RADAM_VOL_26	150	-15.2833	-59.7667	Laterita_Hidromórfica_álica_Textura_arenosa/média_Tb	70	100	
RADAM_VOL_26	150	-15.2833	-59.7667	Laterita_Hidromórfica_álica_Textura_arenosa/média_Tb	0	20	
RADAM_VOL_26	151	-15.2833	-59.35	Podzólico_Vermelho_Amarelo_Distrófico_Concrecionário_Textura_média/argilosa_Tb	80	110	
RADAM_VOL_26	151	-15.2833	-59.35	Podzólico_Vermelho_Amarelo_Distrófico_Concrecionário_Textura_média/argilosa_Tb	0	20	
RADAM_VOL_26	153	-15.3167	-58.8667	Podzólico_Vermelho_Amarelo_Eutrófico_Abrúptico_Tb	70	120	
RADAM_VOL_26	153	-15.3167	-58.8667	Podzólico_Vermelho_Amarelo_Eutrófico_Abrúptico_Tb	0	15	
RADAM_VOL_26	154	-15.3167	-58.7667	Solo_Litólico_Eutrófico	10	25	
RADAM_VOL_26	154	-15.3167	-58.7667	Solo_Litólico_Eutrófico	0	10	
RADAM_VOL_26	155	-15.35	-59.4333	Podzólico_Vermelho_Amarelo_Distrófico_Tb	55	110	2.84
RADAM_VOL_26	155	-15.35	-59.4333	Podzólico_Vermelho_Amarelo_Distrófico_Tb	0	15	1.99
RADAM_VOL_26	156	-15.3667	-59.2	Solo_Litólico_Eutrófico_Proeminente_Textura_média_cascalhenta	0	15	
RADAM_VOL_26	156	-15.3667	-59.2	Solo_Litólico_Eutrófico_Proeminente_Textura_média_cascalhenta	15	30	
RADAM_VOL_26	157	-15.3833	-58.8333	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	50	90	
RADAM_VOL_26	157	-15.3833	-58.8333	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	0	5	
RADAM_VOL_26	158	-15.3833	-59.05	Podzólico_Vermelho_Amarelo_ÁLICO_Textura_médiacascalhenta/argilosa_cascalhenta_Tb	65	130	
RADAM_VOL_26	158	-15.3833	-59.05	Podzólico_Vermelho_Amarelo_ÁLICO_Textura_médiacascalhenta/argilosa_cascalhenta_Tb	0	15	
RADAM_VOL_26	159	-15.3833	-59.05	Podzólico_Vermelho_Amarelo_ÁLICO_Textura_médiacascalhenta/argilosa_cascalhenta_Tb	0	10	
RADAM_VOL_26	159	-15.3833	-59.05	Podzólico_Vermelho_Amarelo_ÁLICO_Textura_médiacascalhenta/argilosa_cascalhenta_Tb	60	90	
RADAM_VOL_26	160	-15.4167	-59.3	Solo_Litólico_Distrófico_Textura_média_cascalhenta	0	15	
RADAM_VOL_26	160	-15.4167	-59.3	Solo_Litólico_Distrófico_Textura_média_cascalhenta	15	35	
RADAM_VOL_26	161	-15.4333	-59.65	Gley_Pouco_Húmico_ÁLICO_Textura_média_Tb	0	10	
RADAM_VOL_26	161	-15.4333	-59.65	Gley_Pouco_Húmico_ÁLICO_Textura_média_Tb	80	115	
RADAM_VOL_26	162	-15.45	-58.7333	Podzólico_Vermelho_Amarelo_ÁLICO_Textura_média_Tb	45	90	
RADAM_VOL_26	162	-15.45	-58.7333	Podzólico_Vermelho_Amarelo_ÁLICO_Textura_média_Tb	0	5	
RADAM_VOL_26	164	-15.5	-58.5833	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	70	110	13.58
RADAM_VOL_26	164	-15.5	-58.5833	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	0	25	8.82
RADAM_VOL_26	168	-15.6167	-58.8333	Podzólico_Vermelho_Amarelo_Distrófico_Tb	80	100	
RADAM_VOL_26	168	-15.6167	-58.8333	Podzólico_Vermelho_Amarelo_Distrófico_Tb	0	5	
RADAM_VOL_26	169	-15.6333	-59.8667	Laterita_Hidromórfica_álica_Tb	50	95	
RADAM_VOL_26	169	-15.6333	-59.8667	Laterita_Hidromórfica_álica_Tb	0	10	
RADAM_VOL_26	172	-15.7333	-59.4333	Latossolo_Vermelho_Amarelo_Distrófico_	55	95	4.95
RADAM_VOL_26	172	-15.7333	-59.4333	Latossolo_Vermelho_Amarelo_Distrófico_	0	15	3.14
RADAM_VOL_26	174	-15.7667	-58.6333	Podzólico_Vermelho_Amarelo_Distrófico_Tb	65	110	
RADAM_VOL_26	174	-15.7667	-58.6333	Podzólico_Vermelho_Amarelo_Distrófico_Tb	0	10	
RADAM_VOL_26	175	-15.8333	-59.2667	Solo_Litólico_Distrófico	0	20	
RADAM_VOL_26	175	-15.8333	-59.2667	Solo_Litólico_Distrófico	20	40	
RADAM_VOL_26	185	-15.9833	-59.1	Podzólico_Vermelho_Amarelo_Latossólico_ÁLICO_	80	110	
